phase,query_idx,filter_idx,actual_selectivity,estimated_selectivity,strategy_chosen,latency_ms,recall,reward,predict_overhead_us,route_overhead_us
learning,34,20,0.750325,0.7405,post_filter,0.43908300722250715,1.0,0.9780458496388746,9417.002729605883,1.2500022421590984
learning,48,2,0.09076,0.08566666666666667,post_filter,0.6362080021062866,0.9,0.0,11541.000276338309,0.500003807246685
learning,26,5,0.16022,0.16,bitmap_prefilter,8.859208006469999,1.0,0.5570395996765001,1875.0070012174547,0.5420006345957518
learning,25,6,0.178125,0.17883333333333334,post_filter,0.47937499766703695,1.0,0.9760312501166482,2166.9984562322497,0.5839974619448185
learning,24,5,0.16022,0.16,bitmap_prefilter,9.268959001929034,1.0,0.5365520499035483,1708.9987522922456,0.5830006557516754
learning,16,12,0.31878,0.3225,post_filter,0.3810420021181926,1.0,0.9809478998940904,2749.999111983925,0.8330025593750179
learning,29,25,0.86027,0.8641666666666666,bitmap_prefilter,44.82449900388019,1.0,0.0,10415.998985990882,1.3339958968572319
learning,46,22,0.789645,0.7913333333333333,post_filter,0.3621260038926266,1.0,0.9818936998053687,9832.998330239207,1.3329990906640887
learning,42,17,0.68122,0.6775,post_filter,0.3983330025221221,1.0,0.9800833498738939,2542.0013116672635,1.167005393654108
learning,12,4,0.14001,0.13066666666666665,bitmap_prefilter,7.7238329977262765,1.0,0.6138083501136862,1667.001924943179,0.5409965524449944
learning,37,1,0.070755,0.07483333333333334,bitmap_prefilter,4.777250003826339,1.0,0.7611374998086831,542.0006345957518,14.208999346010387
learning,47,1,0.070755,0.07483333333333334,bitmap_prefilter,5.121042006067,1.0,0.74394789969665,541.0038284026086,3.2089956221170723
learning,37,1,0.070755,0.07483333333333334,bitmap_prefilter,4.777250003826339,1.0,0.7611374998086831,458.99651013314724,1.45800004247576
learning,33,29,0.952505,0.9553333333333334,post_filter,0.690499997290317,1.0,0.9654750001354842,14042.001566849649,0.12500095181167126
learning,3,5,0.16022,0.16,post_filter,0.5877090006833896,0.0,0.0,1833.9997041039169,0.6659975042566657
learning,11,2,0.09076,0.08566666666666667,bitmap_prefilter,5.501501000253484,1.0,0.7249249499873258,11542.004358489066,1.500004145782441
learning,15,27,0.907765,0.9088333333333334,post_filter,0.626042005023919,1.0,0.968697899748804,11042.000551242381,0.08300412446260452
learning,7,12,0.31878,0.3225,post_filter,0.6212509906617925,1.0,0.9689374504669104,2790.9991331398487,0.9159994078800082
learning,15,18,0.70283,0.6958333333333333,post_filter,3.664542004116811,1.0,0.8167728997941595,8374.998287763447,1.2079981388524175
learning,39,1,0.070755,0.07483333333333334,post_filter,0.6999160104896873,1.0,0.9650041994755156,457.9997039400041,1.1669981176964939
learning,33,18,0.70283,0.6958333333333333,bitmap_prefilter,40.15845801040996,1.0,0.0,8292.001439258456,1.1669981176964939
learning,13,8,0.23102,0.23733333333333334,post_filter,0.6276249987422489,0.2,0.0,2833.0032364465296,0.7080016075633466
learning,15,10,0.269975,0.27366666666666667,bitmap_prefilter,14.809916996455286,1.0,0.2595041501772357,1000.0003385357559,0.7080016075633466
learning,42,4,0.14001,0.13066666666666665,post_filter,0.3572080022422597,1.0,0.982139599887887,1624.997821636498,0.5410038284026086
learning,20,14,0.389405,0.3953333333333333,post_filter,0.5528329929802567,1.0,0.9723583503509872,5208.996299188584,0.8749993867240846
learning,4,29,0.952505,0.9553333333333334,post_filter,0.6348749957396649,1.0,0.9682562502130168,13834.003766532987,0.12500095181167126
learning,29,0,0.05003,0.04666666666666667,post_filter,0.7042910001473501,0.6,0.0,916.9962140731514,0.4169996827840805
learning,6,18,0.70283,0.6958333333333333,bitmap_prefilter,39.062167998054065,1.0,0.0,8457.995136268437,1.2089949450455606
learning,32,6,0.178125,0.17883333333333334,bitmap_prefilter,9.894041992083658,1.0,0.5052979003958171,2708.0022846348584,0.7080016075633466
learning,22,29,0.952505,0.9553333333333334,post_filter,0.44845799857284874,1.0,0.9775771000713576,15000.005078036338,0.12500095181167126
learning,4,28,0.929375,0.9271666666666667,post_filter,5.651375002344139,1.0,0.717431249882793,13249.999028630555,0.12500095181167126
learning,15,28,0.929375,0.9271666666666667,post_filter,2.9805830054101534,1.0,0.8509708497294923,15957.994037307799,0.12500095181167126
learning,18,11,0.3009,0.2981666666666667,bitmap_prefilter,16.19241599837551,1.0,0.19037920008122455,6416.994438041002,2.8750000637955964
learning,34,26,0.88188,0.8825,post_filter,1.7866240013972856,1.0,0.9106687999301357,15791.003534104675,1.8339997041039169
learning,41,19,0.728715,0.7221666666666666,post_filter,0.8733339927857742,0.9,0.0,11459.000234026462,1.2499949662014842
learning,35,21,0.773455,0.7686666666666667,bitmap_prefilter,43.936291003774386,1.0,0.0,12417.003745213151,1.3329990906640887
learning,6,21,0.773455,0.7686666666666667,post_filter,13.026083004660904,1.0,0.3486958497669548,45834.00004776195,3.6249984987080097
learning,16,4,0.14001,0.13066666666666665,bitmap_prefilter,8.028916992770974,1.0,0.5985541503614513,3624.9984987080097,0.8330025593750179
learning,47,3,0.12083,0.124,post_filter,0.47204200382111594,1.0,0.9763978998089442,2083.994331769645,0.6249974831007421
learning,18,8,0.23102,0.23733333333333334,post_filter,0.6119579993537627,0.9,0.0,4583.002009894699,0.7500057108700275
learning,21,22,0.789645,0.7913333333333333,bitmap_prefilter,43.44091700477293,1.0,0.0,11249.998351559043,1.4589968486689031
learning,16,20,0.750325,0.7405,post_filter,0.400249999074731,1.0,0.9799875000462634,12750.002497341484,1.3329990906640887
learning,3,8,0.23102,0.23733333333333334,bitmap_prefilter,12.343791997409426,1.0,0.3828104001295287,3082.997864112258,0.7499984349124134
learning,17,13,0.340115,0.3471666666666667,bitmap_prefilter,19.876375001331326,1.0,0.006181249933433719,4333.000106271356,1.0000003385357559
learning,49,10,0.269975,0.27366666666666667,bitmap_prefilter,15.171958002611063,1.0,0.24140209986944683,1375.0031939707696,0.7499984349124134
learning,10,8,0.23102,0.23733333333333334,post_filter,0.6748740051989444,0.5,0.0,2624.998160172254,0.7499984349124134
learning,45,17,0.68122,0.6775,bitmap_prefilter,38.58574999321718,1.0,0.0,5292.000423651189,1.1660013115033507
learning,7,0,0.05003,0.04666666666666667,bitmap_prefilter,2.787375000480097,1.0,0.8606312499759952,1209.0022210031748,0.4579997039400041
